CENTROID_LATITUDE,CENTROID_LONGITUDE,YEAR,EVENTS
17.0575,51.8238,2020,47
17.0575,51.8238,2021,25
17.0575,51.8238,2022,46
17.0575,51.8238,2023,31
17.0575,51.8238,2024,15
17.0575,51.8238,2025,27
17.0883,44.0424,2020,853
17.0883,44.0424,2021,775
17.0883,44.0424,2022,1148
17.0883,44.0424,2023,540
17.0883,44.0424,2024,1138
17.0883,44.0424,2025,1403
17.353,42.7999,2020,33
17.353,42.7999,2021,48
17.353,42.7999,2022,19
17.353,42.7999,2023,5
17.353,42.7999,2024,1
17.353,42.7999,2025,5
18.2376,45.6117,2020,31
18.2376,45.6117,2021,32
18.2376,45.6117,2022,9
18.2376,45.6117,2023,4
18.2376,45.6117,2024,2
18.2376,45.6117,2025,11
18.7938,39.9069,2023,1
18.7938,39.9069,2024,1
18.7938,39.9069,2025,36
18.8597,54.5566,2021,3
18.8597,54.5566,2024,2
18.8597,54.5566,2025,1
19.2036,42.9532,2020,27
19.2036,42.9532,2021,121
19.2036,42.9532,2022,13
19.2036,42.9532,2023,2
21.0317,41.4478,2020,9
21.0317,41.4478,2021,15
21.0317,41.4478,2022,8
21.0317,41.4478,2023,3
21.7224,58.5473,2023,1
22.0188,62.9761,2020,1
22.0188,62.9761,2021,2
22.0188,62.9761,2023,1
22.0188,62.9761,2024,2
22.0188,62.9761,2025,2
22.1156,59.5208,2021,4
22.3885,57.2237,2021,3
22.3885,57.2237,2023,1
23.0064,55.9877,2021,3
23.0064,55.9877,2022,1
23.1567,50.3153,2020,2
23.1567,50.3153,2021,8
23.1567,50.3153,2022,4
23.1567,50.3153,2023,1
23.2501,58.7601,2020,5
23.2501,58.7601,2021,1
23.2501,58.7601,2023,4
23.2501,58.7601,2024,3
23.4556,45.232,2020,14
23.4556,45.232,2021,12
23.4556,45.232,2022,8
23.4556,45.232,2023,4
23.4556,45.232,2024,2
23.4556,45.232,2025,2
23.4831,57.6494,2021,3
23.7727,53.7133,2020,2
23.7727,53.7133,2021,3
23.7727,53.7133,2022,19
23.7727,53.7133,2023,2
23.7727,53.7133,2025,2
24.2357,56.5739,2021,4
24.2357,56.5739,2023,1
24.3297,56.0538,2024,1
24.5876,58.5161,2021,3
24.5876,58.5161,2022,8
24.5876,58.5161,2023,4
24.5876,58.5161,2024,1
24.5876,58.5161,2025,2
24.931,50.9784,2021,4
24.931,50.9784,2022,2
24.931,50.9784,2023,4
24.931,50.9784,2025,2
24.9904,55.3711,2020,1
24.9904,55.3711,2022,4
24.9904,55.3711,2023,2
24.9904,55.3711,2024,2
24.9904,55.3711,2025,1
25.0041,39.9162,2020,2
25.0041,39.9162,2021,3
25.0041,39.9162,2022,2
25.0041,39.9162,2023,1
25.1368,55.8094,2020,1
25.1368,55.8094,2022,2
25.2934,51.5014,2020,4
25.2934,51.5014,2021,9
25.2934,51.5014,2022,6
25.2934,51.5014,2023,16
25.2934,51.5014,2025,2
25.4074,35.9101,2021,1
25.4074,35.9101,2023,1
25.4074,35.9101,2024,17
25.4074,35.9101,2025,111
25.4363,56.2301,2021,1
25.4451,51.0111,2022,2
25.4782,51.3371,2021,3
25.7618,51.3405,2021,3
25.9953,56.303,2022,1
25.9954,50.5421,2020,10
25.9954,50.5421,2021,67
25.9954,50.5421,2022,25
25.9954,50.5421,2023,35
25.9954,50.5421,2024,49
25.9954,50.5421,2025,41
26.0015,51.2173,2020,2
26.1468,50.4809,2020,150
26.1468,50.4809,2021,536
26.1468,50.4809,2022,223
26.1468,50.4809,2023,304
26.1468,50.4809,2024,363
26.1468,50.4809,2025,240
26.1927,50.5508,2020,124
26.1927,50.5508,2021,501
26.1927,50.5508,2022,461
26.1927,50.5508,2023,455
26.1927,50.5508,2024,373
26.1927,50.5508,2025,271
26.2547,50.6428,2020,15
26.2547,50.6428,2021,82
26.2547,50.6428,2022,18
26.2547,50.6428,2023,29
26.2547,50.6428,2024,40
26.2547,50.6428,2025,31
26.2766,43.325,2021,1
26.4465,51.0016,2020,1
26.6719,56.4867,2020,1
26.6719,56.4867,2023,3
26.6719,56.4867,2024,1
27.0645,51.452,2021,1
27.0645,51.452,2022,3
27.0645,51.452,2023,3
27.0645,51.452,2025,5
27.0911,41.45,2023,1
27.1422,55.0325,2020,60
27.1422,55.0325,2021,71
27.1422,55.0325,2022,97
27.1422,55.0325,2023,110
27.1422,55.0325,2024,133
27.1422,55.0325,2025,134
27.2704,38.9507,2020,2
27.2704,38.9507,2023,1
28.2728,60.8613,2020,75
28.2728,60.8613,2021,150
28.2728,60.8613,2022,187
28.2728,60.8613,2023,297
28.2728,60.8613,2024,237
28.2728,60.8613,2025,197
28.7846,51.5038,2020,44
28.7846,51.5038,2021,92
28.7846,51.5038,2022,62
28.7846,51.5038,2023,94
28.7846,51.5038,2024,148
28.7846,51.5038,2025,167
28.8688,47.9227,2020,1
28.8688,47.9227,2021,1
29.2228,48.0509,2020,1
29.2326,57.3392,2020,62
29.2326,57.3392,2021,142
29.2326,57.3392,2022,70
29.2326,57.3392,2023,87
29.2326,57.3392,2024,122
29.2326,57.3392,2025,88
29.2476,47.9119,2023,2
29.2476,47.9119,2024,1
29.3474,47.9688,2020,19
29.3474,47.9688,2021,14
29.3474,47.9688,2022,16
29.3474,47.9688,2023,16
29.3474,47.9688,2024,8
29.3576,53.3176,2020,57
29.3576,53.3176,2021,173
29.3576,53.3176,2022,190
29.3576,53.3176,2023,125
29.3576,53.3176,2024,147
29.3576,53.3176,2025,113
29.4988,47.3671,2022,7
29.9747,35.2057,2020,9
29.9747,35.2057,2021,15
29.9747,35.2057,2022,19
29.9747,35.2057,2023,26
29.9747,35.2057,2024,17
29.9747,35.2057,2025,5
30.2047,47.5084,2020,534
30.2047,47.5084,2021,439
30.2047,47.5084,2022,352
30.2047,47.5084,2023,301
30.2047,47.5084,2024,368
30.2047,47.5084,2025,424
30.2431,36.501,2020,6
30.2431,36.501,2021,21
30.2431,36.501,2022,79
30.2431,36.501,2023,23
30.2431,36.501,2024,6
30.2431,36.501,2025,1
30.4107,45.3606,2020,250
30.4107,45.3606,2021,203
30.4107,45.3606,2022,208
30.4107,45.3606,2023,149
30.4107,45.3606,2024,191
30.4107,45.3606,2025,166
30.6783,34.8831,2020,308
30.6783,34.8831,2021,282
30.6783,34.8831,2022,190
30.6783,34.8831,2023,996
30.6783,34.8831,2024,597
30.6783,34.8831,2025,352
30.7032,51.0949,2020,75
30.7032,51.0949,2021,90
30.7032,51.0949,2022,70
30.7032,51.0949,2023,60
30.7032,51.0949,2024,57
30.7032,51.0949,2025,54
30.8097,35.6612,2020,5
30.8097,35.6612,2021,17
30.8097,35.6612,2022,38
30.8097,35.6612,2023,10
30.8097,35.6612,2024,14
30.8097,35.6612,2025,2
31.0697,43.38,2020,83
31.0697,43.38,2021,55
31.0697,43.38,2022,62
31.0697,43.38,2023,55
31.0697,43.38,2024,68
31.0697,43.38,2025,84
31.1106,35.8385,2020,28
31.1106,35.8385,2021,22
31.1106,35.8385,2022,35
31.1106,35.8385,2023,29
31.1106,35.8385,2024,34
31.1106,35.8385,2025,6
31.2876,46.2732,2020,517
31.2876,46.2732,2021,597
31.2876,46.2732,2022,334
31.2876,46.2732,2023,265
31.2876,46.2732,2024,215
31.2876,46.2732,2025,102
31.407,34.3577,2020,1323
31.407,34.3577,2021,1265
31.407,34.3577,2022,1419
31.407,34.3577,2023,4513
31.407,34.3577,2024,12687
31.407,34.3577,2025,8298
31.4636,48.9916,2020,520
31.4636,48.9916,2021,793
31.4636,48.9916,2022,449
31.4636,48.9916,2023,478
31.4636,48.9916,2024,425
31.4636,48.9916,2025,305
31.4825,54.4162,2020,41
31.4825,54.4162,2021,74
31.4825,54.4162,2022,81
31.4825,54.4162,2023,78
31.4825,54.4162,2024,87
31.4825,54.4162,2025,54
31.6029,35.6669,2020,16
31.6029,35.6669,2021,32
31.6029,35.6669,2022,33
31.6029,35.6669,2023,13
31.6029,35.6669,2024,6
31.6029,35.6669,2025,1
31.6696,36.3151,2020,165
31.6696,36.3151,2021,183
31.6696,36.3151,2022,176
31.6696,36.3151,2023,192
31.6696,36.3151,2024,145
31.6696,36.3151,2025,47
31.7281,34.9945,2020,234
31.7281,34.9945,2021,243
31.7281,34.9945,2022,208
31.7281,34.9945,2023,278
31.7281,34.9945,2024,275
31.7281,34.9945,2025,261
31.8451,45.1666,2020,273
31.8451,45.1666,2021,175
31.8451,45.1666,2022,28
31.8451,45.1666,2023,23
31.8451,45.1666,2024,60
31.8451,45.1666,2025,110
31.8608,36.8739,2020,37
31.8608,36.8739,2021,25
31.8608,36.8739,2022,23
31.8608,36.8739,2023,36
31.8608,36.8739,2024,20
31.8608,36.8739,2025,3
31.9393,35.6476,2020,9
31.9393,35.6476,2021,18
31.9393,35.6476,2022,17
31.9393,35.6476,2023,19
31.9393,35.6476,2024,6
31.9393,35.6476,2025,2
31.9475,35.267,2020,3418
31.9475,35.267,2021,4859
31.9475,35.267,2022,6496
31.9475,35.267,2023,8682
31.9475,35.267,2024,8313
31.9475,35.267,2025,7153
31.979,50.8101,2020,21
31.979,50.8101,2021,76
31.979,50.8101,2022,55
31.979,50.8101,2023,54
31.979,50.8101,2024,51
31.979,50.8101,2025,50
31.999,47.135,2020,123
31.999,47.135,2021,232
31.999,47.135,2022,251
31.999,47.135,2023,253
31.999,47.135,2024,216
31.999,47.135,2025,226
32.085,34.9167,2020,350
32.085,34.9167,2021,297
32.085,34.9167,2022,205
32.085,34.9167,2023,900
32.085,34.9167,2024,416
32.085,34.9167,2025,303
32.0984,34.8103,2020,255
32.0984,34.8103,2021,230
32.0984,34.8103,2022,175
32.0984,34.8103,2023,611
32.0984,34.8103,2024,530
32.0984,34.8103,2025,365
32.2431,35.9005,2020,5
32.2431,35.9005,2021,6
32.2431,35.9005,2022,11
32.2431,35.9005,2023,6
32.2431,35.9005,2024,1
32.2431,35.9005,2025,1
32.2912,35.7319,2020,8
32.2912,35.7319,2021,5
32.2912,35.7319,2022,3
32.2912,35.7319,2023,3
32.2912,35.7319,2024,4
32.2912,35.7319,2025,1
32.4735,35.8353,2020,76
32.4735,35.8353,2021,51
32.4735,35.8353,2022,27
32.4735,35.8353,2023,92
32.4735,35.8353,2024,63
32.4735,35.8353,2025,15
32.49,43.8069,2020,74
32.49,43.8069,2021,56
32.49,43.8069,2022,23
32.49,43.8069,2023,19
32.49,43.8069,2024,38
32.49,43.8069,2025,29
