COUNTRY,YEAR,EVENT_TYPE,EVENTS
Saudi Arabia,2020,Protests,3
Saudi Arabia,2020,Riots,1
Saudi Arabia,2020,Strategic developments,66
Saudi Arabia,2020,Violence against civilians,3
Saudi Arabia,2021,Explosions/Remote violence,78
Saudi Arabia,2021,Protests,1
Saudi Arabia,2021,Strategic developments,159
Saudi Arabia,2021,Violence against civilians,3
Saudi Arabia,2022,Explosions/Remote violence,33
Saudi Arabia,2022,Protests,1
Saudi Arabia,2022,Strategic developments,22
Saudi Arabia,2022,Violence against civilians,7
Saudi Arabia,2023,Battles,1
Saudi Arabia,2023,Explosions/Remote violence,3
Saudi Arabia,2023,Strategic developments,17
Saudi Arabia,2023,Violence against civilians,3
Saudi Arabia,2024,Strategic developments,3
Saudi Arabia,2024,Violence against civilians,2
Saudi Arabia,2025,Explosions/Remote violence,4
Saudi Arabia,2025,Strategic developments,13
Saudi Arabia,2025,Violence against civilians,1
Syria,2020,Battles,2564
Syria,2020,Explosions/Remote violence,6270
Syria,2020,Protests,473
Syria,2020,Riots,58
Syria,2020,Strategic developments,1562
Syria,2020,Violence against civilians,1439
Syria,2021,Battles,1992
Syria,2021,Explosions/Remote violence,5618
Syria,2021,Protests,339
Syria,2021,Riots,46
Syria,2021,Strategic developments,953
Syria,2021,Violence against civilians,1853
Syria,2022,Battles,2049
Syria,2022,Explosions/Remote violence,7126
Syria,2022,Protests,453
Syria,2022,Riots,140
Syria,2022,Strategic developments,991
Syria,2022,Violence against civilians,1862
Syria,2023,Battles,2568
Syria,2023,Explosions/Remote violence,5693
Syria,2023,Protests,1205
Syria,2023,Riots,156
Syria,2023,Strategic developments,1224
Syria,2023,Violence against civilians,1964
Syria,2024,Battles,2940
Syria,2024,Explosions/Remote violence,7238
Syria,2024,Protests,1518
Syria,2024,Riots,95
Syria,2024,Strategic developments,1975
Syria,2024,Violence against civilians,2050
Syria,2025,Battles,1263
Syria,2025,Explosions/Remote violence,1999
Syria,2025,Protests,695
Syria,2025,Riots,35
Syria,2025,Strategic developments,2115
Syria,2025,Violence against civilians,2300
Turkey,2020,Battles,303
Turkey,2020,Explosions/Remote violence,320
Turkey,2020,Protests,2169
Turkey,2020,Riots,26
Turkey,2020,Strategic developments,1308
Turkey,2020,Violence against civilians,142
Turkey,2021,Battles,161
Turkey,2021,Explosions/Remote violence,137
Turkey,2021,Protests,3007
Turkey,2021,Riots,38
Turkey,2021,Strategic developments,1338
Turkey,2021,Violence against civilians,60
Turkey,2022,Battles,150
Turkey,2022,Explosions/Remote violence,127
Turkey,2022,Protests,4106
Turkey,2022,Riots,56
