WEEK,COUNTRY,EVENTS
2021-12-11,Bahrain,1
2022-01-08,Bahrain,2
2022-01-15,Bahrain,2
2022-02-05,Bahrain,2
2022-02-12,Bahrain,1
2022-03-05,Bahrain,1
2022-03-12,Bahrain,1
2022-05-21,Bahrain,1
2022-12-10,Bahrain,1
2023-02-04,Bahrain,1
2023-02-11,Bahrain,3
2023-04-08,Bahrain,1
2023-05-20,Bahrain,1
2023-05-27,Bahrain,8
2023-06-03,Bahrain,2
2023-06-17,Bahrain,3
2023-07-08,Bahrain,1
2023-07-15,Bahrain,1
2023-08-05,Bahrain,1
2023-08-12,Bahrain,3
2023-08-19,Bahrain,1
2023-09-09,Bahrain,2
2023-09-23,Bahrain,3
2023-09-30,Bahrain,3
2023-10-07,Bahrain,2
2023-10-21,Bahrain,4
2023-10-28,Bahrain,2
2023-11-11,Bahrain,2
2023-12-09,Bahrain,2
2023-12-16,Bahrain,1
2023-12-30,Bahrain,1
2024-01-06,Bahrain,1
2024-02-03,Bahrain,2
2024-02-10,Bahrain,5
2024-02-17,Bahrain,3
